;;;Date_imposition_revenus#Annee;Type_foyer_fiscal#type_foyer_fiscal_impose;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_foyers_fiscaux_selon_le_type_à_partir_de_2012;;;;;;;;
;;;;;;;;;;;;;;
;;;2021;Foyers fiscaux imposés;97301 - Régina;42,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97302 - Cayenne;8120,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97303 - Iracoubo;91,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97304 - Kourou;3654,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97305 - Macouria;1907,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97306 - Mana;468,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97307 - Matoury;3849,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97308 - Saint-Georges;260,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97309 - Remire-Montjoly;6244,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97310 - Roura;351,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97311 - Saint-Laurent-du-Maroni;2947,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97312 - Sinnamary;254,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97313 - Montsinéry-Tonnegrande;301,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97314 - Ouanary;0,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97352 - Saül;16,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97353 - Maripasoula;241,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97356 - Camopi;44,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97357 - Grand-Santi;84,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97358 - Saint-Élie;0,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97360 - Apatou;97,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97361 - Awala-Yalimapo;45,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;97362 - Papaichton;59,00;;;;;;;;
;;;;;;;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97301 - Régina;277,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97302 - Cayenne;24816,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97303 - Iracoubo;689,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97304 - Kourou;9271,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97305 - Macouria;5890,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97306 - Mana;2831,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97307 - Matoury;11709,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97308 - Saint-Georges;1657,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97309 - Remire-Montjoly;6811,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97310 - Roura;993,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97311 - Saint-Laurent-du-Maroni;14833,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97312 - Sinnamary;1039,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97313 - Montsinéry-Tonnegrande;808,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97314 - Ouanary;0,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97352 - Saül;34,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97353 - Maripasoula;1527,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97356 - Camopi;783,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97357 - Grand-Santi;899,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97358 - Saint-Élie;0,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97360 - Apatou;975,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97361 - Awala-Yalimapo;514,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;97362 - Papaichton;524,00;;;;;;;;
;;;;;;;;;;;;;;
;;;2022;Foyers fiscaux imposés;97301 - Régina;36,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97302 - Cayenne;8062,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97303 - Iracoubo;87,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97304 - Kourou;3553,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97305 - Macouria;1948,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97306 - Mana;474,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97307 - Matoury;3952,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97308 - Saint-Georges;278,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97309 - Remire-Montjoly;6224,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97310 - Roura;346,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97311 - Saint-Laurent-du-Maroni;2914,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97312 - Sinnamary;263,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97313 - Montsinéry-Tonnegrande;285,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97314 - Ouanary;0,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97352 - Saül;0,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97353 - Maripasoula;242,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97356 - Camopi;40,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97357 - Grand-Santi;108,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97358 - Saint-Élie;0,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97360 - Apatou;117,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97361 - Awala-Yalimapo;43,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;97362 - Papaichton;57,00;;;;;;;;
;;;;;;;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97301 - Régina;292,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97302 - Cayenne;26045,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97303 - Iracoubo;729,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97304 - Kourou;9514,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97305 - Macouria;6268,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97306 - Mana;2967,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97307 - Matoury;12374,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97308 - Saint-Georges;1775,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97309 - Remire-Montjoly;7223,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97310 - Roura;1041,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97311 - Saint-Laurent-du-Maroni;15958,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97312 - Sinnamary;1070,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97313 - Montsinéry-Tonnegrande;872,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97314 - Ouanary;0,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97352 - Saül;0,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97353 - Maripasoula;1695,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97356 - Camopi;904,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97357 - Grand-Santi;1615,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97358 - Saint-Élie;0,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97360 - Apatou;1050,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97361 - Awala-Yalimapo;530,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;97362 - Papaichton;565,00;;;;;;;;
;;;;;;;;;;;;;;
;;;2023;Foyers fiscaux imposés;97301 - Régina;42,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97302 - Cayenne;8485,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97303 - Iracoubo;103,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97304 - Kourou;3590,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97305 - Macouria;2138,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97306 - Mana;478,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97307 - Matoury;4085,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97308 - Saint-Georges;304,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97309 - Remire-Montjoly;6463,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97310 - Roura;364,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97311 - Saint-Laurent-du-Maroni;3042,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97312 - Sinnamary;264,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97313 - Montsinéry-Tonnegrande;311,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97314 - Ouanary;0,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97352 - Saül;13,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97353 - Maripasoula;264,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97356 - Camopi;42,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97357 - Grand-Santi;83,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97358 - Saint-Élie;0,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97360 - Apatou;131,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97361 - Awala-Yalimapo;42,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;97362 - Papaichton;71,00;;;;;;;;
;;;;;;;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97301 - Régina;323,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97302 - Cayenne;27098,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97303 - Iracoubo;722,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97304 - Kourou;9499,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97305 - Macouria;6658,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97306 - Mana;3058,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97307 - Matoury;13334,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97308 - Saint-Georges;1911,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97309 - Remire-Montjoly;7549,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97310 - Roura;1052,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97311 - Saint-Laurent-du-Maroni;16529,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97312 - Sinnamary;1084,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97313 - Montsinéry-Tonnegrande;922,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97314 - Ouanary;0,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97352 - Saül;37,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97353 - Maripasoula;1663,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97356 - Camopi;966,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97357 - Grand-Santi;1616,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97358 - Saint-Élie;0,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97360 - Apatou;1086,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97361 - Awala-Yalimapo;541,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;97362 - Papaichton;553,00;;;;;;;;
;;;;;;;;;;;;;;
;;;Date_imposition_revenus#Annee;Type_foyer_fiscal#type_foyer_fiscal_impose;Lieu_domicile#Regions_France_2017;Nombre_de_foyers_fiscaux_selon_le_type_à_partir_de_2012_0;;;;;;;;
;;;;;;;;;;;;;;
1;1;01,Guadeloupe;2021;Foyers fiscaux imposés;Guadeloupe;65478,00;2022;Foyers fiscaux imposés;Guadeloupe;65613,00;2023;Foyers fiscaux imposés;Guadeloupe;67240,00
2;2;02,Martinique;2021;Foyers fiscaux imposés;Martinique;71337,00;2022;Foyers fiscaux imposés;Martinique;71003,00;2023;Foyers fiscaux imposés;Martinique;72518,00
3;3;03,Guyane;2021;Foyers fiscaux imposés;Guyane;29082,00;2022;Foyers fiscaux imposés;Guyane;29044,00;2023;Foyers fiscaux imposés;Guyane;30315,00
4;4;04,La RÃ©union;2021;Foyers fiscaux imposés;Réunion;125258,00;2022;Foyers fiscaux imposés;Réunion;125485,00;2023;Foyers fiscaux imposés;Réunion;127867,00
6;6;06,Mayotte;;;;;;;;;;;;
11;11;11,ÃŽle-de-France;2021;Foyers fiscaux imposés;Île-de-France;3897965,00;2022;Foyers fiscaux imposés;Île-de-France;3879426,00;2023;Foyers fiscaux imposés;Île-de-France;3937907,00
24;24;24,Centre-Val de Loire;2021;Foyers fiscaux imposés;Centre-Val de Loire;695876,00;2022;Foyers fiscaux imposés;Centre-Val de Loire;687329,00;2023;Foyers fiscaux imposés;Centre-Val de Loire;704777,00
27;27;27,Bourgogne-Franche-ComtÃ©;2021;Foyers fiscaux imposés;Bourgogne-Franche-Comté;752172,00;2022;Foyers fiscaux imposés;Bourgogne-Franche-Comté;747643,00;2023;Foyers fiscaux imposés;Bourgogne-Franche-Comté;769830,00
28;28;28,Normandie;2021;Foyers fiscaux imposés;Normandie;859541,00;2022;Foyers fiscaux imposés;Normandie;849732,00;2023;Foyers fiscaux imposés;Normandie;884589,00
32;32;32,Hauts-de-France;2021;Foyers fiscaux imposés;Hauts-de-France;1378919,00;2022;Foyers fiscaux imposés;Hauts-de-France;1363871,00;2023;Foyers fiscaux imposés;Hauts-de-France;1396013,00
44;44;44,Grand Est;2021;Foyers fiscaux imposés;Grand Est;1421648,00;2022;Foyers fiscaux imposés;Grand Est;1412815,00;2023;Foyers fiscaux imposés;Grand Est;1450754,00
52;52;52,Pays de la Loire;2021;Foyers fiscaux imposés;Pays de la Loire;1006444,00;2022;Foyers fiscaux imposés;Pays de la Loire;1004881,00;2023;Foyers fiscaux imposés;Pays de la Loire;1043519,00
53;53;53,Bretagne;2021;Foyers fiscaux imposés;Bretagne;929709,00;2022;Foyers fiscaux imposés;Bretagne;929620,00;2023;Foyers fiscaux imposés;Bretagne;965510,00
75;75;75,Nouvelle-Aquitaine;2021;Foyers fiscaux imposés;Nouvelle-Aquitaine;1632629,00;2022;Foyers fiscaux imposés;Nouvelle-Aquitaine;1625790,00;2023;Foyers fiscaux imposés;Nouvelle-Aquitaine;1677078,00
76;76;76,Occitanie;2021;Foyers fiscaux imposés;Occitanie;1519006,00;2022;Foyers fiscaux imposés;Occitanie;1516267,00;2023;Foyers fiscaux imposés;Occitanie;1560690,00
84;84;84,Auvergne-RhÃ´ne-Alpes;2021;Foyers fiscaux imposés;Auvergne-Rhône-Alpes;2251721,00;2022;Foyers fiscaux imposés;Auvergne-Rhône-Alpes;2242481,00;2023;Foyers fiscaux imposés;Auvergne-Rhône-Alpes;2303644,00
93;93;93,Provence-Alpes-CÃ´te d'Azur;2021;Foyers fiscaux imposés;Provence-Alpes-Côte d'Azur;1467230,00;2022;Foyers fiscaux imposés;Provence-Alpes-Côte d'Azur;1469032,00;2023;Foyers fiscaux imposés;Provence-Alpes-Côte d'Azur;1503670,00
94;94;94,Corse;2021;Foyers fiscaux imposés;Corse;90266,00;2022;Foyers fiscaux imposés;Corse;91075,00;2023;Foyers fiscaux imposés;Corse;93107,00
;;;;;;;;;;;;;;
1;1;01,Guadeloupe;2021;Foyers fiscaux non imposés;Guadeloupe;198048,00;2022;Foyers fiscaux non imposés;Guadeloupe;203419,00;2023;Foyers fiscaux non imposés;Guadeloupe;205326,00
2;2;02,Martinique;2021;Foyers fiscaux non imposés;Martinique;177979,00;2022;Foyers fiscaux non imposés;Martinique;181377,00;2023;Foyers fiscaux non imposés;Martinique;182125,00
3;3;03,Guyane;2021;Foyers fiscaux non imposés;Guyane;86893,00;2022;Foyers fiscaux non imposés;Guyane;92546,00;2023;Foyers fiscaux non imposés;Guyane;96201,00
4;4;04,La RÃ©union;2021;Foyers fiscaux non imposés;Réunion;416998,00;2022;Foyers fiscaux non imposés;Réunion;427022,00;2023;Foyers fiscaux non imposés;Réunion;433152,00
6;6;06,Mayotte;;;;;;;;;;;;
11;11;11,ÃŽle-de-France;2021;Foyers fiscaux non imposés;Île-de-France;3348807,00;2022;Foyers fiscaux non imposés;Île-de-France;3430878,00;2023;Foyers fiscaux non imposés;Île-de-France;3490890,00
24;24;24,Centre-Val de Loire;2021;Foyers fiscaux non imposés;Centre-Val de Loire;824018,00;2022;Foyers fiscaux non imposés;Centre-Val de Loire;843796,00;2023;Foyers fiscaux non imposés;Centre-Val de Loire;843245,00
27;27;27,Bourgogne-Franche-ComtÃ©;2021;Foyers fiscaux non imposés;Bourgogne-Franche-Comté;891270,00;2022;Foyers fiscaux non imposés;Bourgogne-Franche-Comté;912599,00;2023;Foyers fiscaux non imposés;Bourgogne-Franche-Comté;905798,00
28;28;28,Normandie;2021;Foyers fiscaux non imposés;Normandie;1094631,00;2022;Foyers fiscaux non imposés;Normandie;1122914,00;2023;Foyers fiscaux non imposés;Normandie;1133113,00
32;32;32,Hauts-de-France;2021;Foyers fiscaux non imposés;Hauts-de-France;2029952,00;2022;Foyers fiscaux non imposés;Hauts-de-France;2069871,00;2023;Foyers fiscaux non imposés;Hauts-de-France;2065791,00
44;44;44,Grand Est;2021;Foyers fiscaux non imposés;Grand Est;1772404,00;2022;Foyers fiscaux non imposés;Grand Est;1800595,00;2023;Foyers fiscaux non imposés;Grand Est;1792539,00
52;52;52,Pays de la Loire;2021;Foyers fiscaux non imposés;Pays de la Loire;1203839,00;2022;Foyers fiscaux non imposés;Pays de la Loire;1238891,00;2023;Foyers fiscaux non imposés;Pays de la Loire;1237358,00
53;53;53,Bretagne;2021;Foyers fiscaux non imposés;Bretagne;1076556,00;2022;Foyers fiscaux non imposés;Bretagne;1106387,00;2023;Foyers fiscaux non imposés;Bretagne;1099146,00
75;75;75,Nouvelle-Aquitaine;2021;Foyers fiscaux non imposés;Nouvelle-Aquitaine;2082206,00;2022;Foyers fiscaux non imposés;Nouvelle-Aquitaine;2140438,00;2023;Foyers fiscaux non imposés;Nouvelle-Aquitaine;2149952,00
76;76;76,Occitanie;2021;Foyers fiscaux non imposés;Occitanie;2144758,00;2022;Foyers fiscaux non imposés;Occitanie;2215364,00;2023;Foyers fiscaux non imposés;Occitanie;2226079,00
84;84;84,Auvergne-RhÃ´ne-Alpes;2021;Foyers fiscaux non imposés;Auvergne-Rhône-Alpes;2472213,00;2022;Foyers fiscaux non imposés;Auvergne-Rhône-Alpes;2540671,00;2023;Foyers fiscaux non imposés;Auvergne-Rhône-Alpes;2552212,00
93;93;93,Provence-Alpes-CÃ´te d'Azur;2021;Foyers fiscaux non imposés;Provence-Alpes-Côte d'Azur;1776133,00;2022;Foyers fiscaux non imposés;Provence-Alpes-Côte d'Azur;1827591,00;2023;Foyers fiscaux non imposés;Provence-Alpes-Côte d'Azur;1832725,00
94;94;94,Corse;2021;Foyers fiscaux non imposés;Corse;116372,00;2022;Foyers fiscaux non imposés;Corse;121154,00;2023;Foyers fiscaux non imposés;Corse;120665,00
;;;;;;;;;;;;;;
;;;Date_imposition_revenus#Annee;Type_foyer_fiscal#type_foyer_fiscal_impose;Lieu_domicile#France;Nombre_de_foyers_fiscaux_selon_le_type_à_partir_de_2012_1;;;;;;;;
;;;;;;;;;;;;;;
;;;2021;Foyers fiscaux imposés;Departements d'outre mer;291155,00;;;;;;;;
;;;2021;Foyers fiscaux imposés;France métropolitaine;17903126,00;;;;;;;;
;;;;;;18194281,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;Departements d'outre mer;879918,00;;;;;;;;
;;;2021;Foyers fiscaux non imposés;France métropolitaine;20833159,00;;;;;;;;
;;;;;;21713077,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;Departements d'outre mer;291145,00;;;;;;;;
;;;2022;Foyers fiscaux imposés;France métropolitaine;17819962,00;;;;;;;;
;;;;;;18111107,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;Departements d'outre mer;904364,00;;;;;;;;
;;;2022;Foyers fiscaux non imposés;France métropolitaine;21371149,00;;;;;;;;
;;;;;;22275513,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;Departements d'outre mer;297940,00;;;;;;;;
;;;2023;Foyers fiscaux imposés;France métropolitaine;18291088,00;;;;;;;;
;;;;;;18589028,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;Departements d'outre mer;916804,00;;;;;;;;
;;;2023;Foyers fiscaux non imposés;France métropolitaine;21449513,00;;;;;;;;
;;;;;;22366317,00;;;;;;;;
