Date_RP#Annee;Age_personne#Age_Decennal_0_85_ss_moins_1an;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;15-24 ans§25-34 ans§35-44 ans§45-54 ans§55-64 ans;masculin§feminin;;
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;606.3570551872253
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;582.6786651611328
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;559.0
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;552.1115674972534
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;545.4644710421562
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;539.4500651955605
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;1344.9692215919495
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97301 - Régina;1353.895004272461
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;36895.194259643555
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;38986.619689941406
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;39380.53276062012
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;40822.323501586914
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;41973.72918701172
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;42267.6755065918
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;40758.49516296387
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97302 - Cayenne;41026.998794555664
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1098.7959673404694
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1068.0
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1052.8922307491302
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1037.7828620672226
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1024.414092183113
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1037.307606458664
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1027.6905317306519
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97303 - Iracoubo;1018.0
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;16488.78419494629
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;16577.496536254883
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;16362.67720413208
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;15984.619064331055
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;15998.832035064697
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;15824.250812530518
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;15832.85641860962
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97304 - Kourou;15708.87035369873
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;7562.579498291016
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;8209.617223739624
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;9003.16068649292
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;9674.89661026001
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;10126.415729522705
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;11672.58579158783
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;11523.995216369629
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97305 - Macouria;11493.202781677246
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;5714.982479095459
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;5894.0
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;6075.941185951233
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;6264.428524971008
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;6541.3890380859375
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;6734.020748138428
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;6906.466398239136
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97306 - Mana;6659.420152664185
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;20398.351593017578
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;20471.192001342773
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;20059.756103515625
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;20617.667625427246
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;20950.426246643066
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;21450.05534362793
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;21756.428535461426
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97307 - Matoury;22264.508796691895
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2237.323028087616
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2268.4397768974304
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2299.0
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2330.709791660309
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2360.690200805664
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2391.183539390564
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2698.8019394874573
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97308 - Saint-Georges;2822.8991322517395
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;16271.344703674316
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;17468.92324066162
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;17007.572746276855
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;17617.668815612793
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;17767.77507019043
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;17418.904747009277
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;18141.77769470215
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97309 - Remire-Montjoly;17944.16333770752
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2492.451545715332
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2613.4192695617676
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2558.059361934662
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2218.4913148880005
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2340.261610507965
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2334.229423522949
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2325.484748840332
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97310 - Roura;2316.850601673126
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;23987.442554473877
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;24141.562873840332
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;22797.95277786255
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;24439.21262359619
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;25771.64300918579
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;27191.461013793945
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;27909.022819519043
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97311 - Saint-Laurent-du-Maroni;28487.925895690918
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1711.7406125068665
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1750.533856868744
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1736.2669286727905
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1722.0
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1714.346049785614
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1706.6115808486938
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1696.3336606025696
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97312 - Sinnamary;1670.5054683685303
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1622.0
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1659.3773756027222
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1698.0663194656372
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1700.6189150810242
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1814.116201877594
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;1927.0
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;2018.7160902023315
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97313 - Montsinéry-Tonnegrande;2115.0601091384888
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;91.57499819993973
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;101.01000243425369
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;111.0
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;122.10000169277191
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;134.31000423431396
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;147.6300038099289
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;177.74980664253235
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97314 - Ouanary;144.0151132941246
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;94.73684078454971
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;95.36842346191406
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;96.0
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;96.0
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;96.0
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;96.63157653808594
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;265.57561337947845
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97352 - Saül;253.28980481624603
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;8609.170970916748
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;9293.169884204865
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;9234.799560785294
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;8526.229676246643
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;8365.750728845596
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;6516.572036981583
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;6182.68949842453
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97353 - Maripasoula;5731.161891818047
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;963.4034508466721
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;973.2017255425453
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;983.0
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;998.7859896421432
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;1015.8883600234985
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;1033.0338237285614
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;1327.0357360243797
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97356 - Camopi;1345.193753182888
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;3217.0
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;3428.881603240967
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;3655.0733137130737
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;4878.103624343872
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;4922.944538593292
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;4965.62070608139
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;5097.495242595673
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97357 - Grand-Santi;5234.089324951172
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;91.83333253860474
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;145.2430260181427
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;239.32530212402344
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;213.0011956691742
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;244.13333892822266
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;241.25133562088013
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;238.3687053322792
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97358 - Saint-Élie;141.6078535914421
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;4638.0
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;4855.294509410858
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;5083.591266155243
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;5084.554078102112
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;5141.548146724701
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;5198.0
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;5316.829026699066
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97360 - Apatou;5438.626700878143
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;809.7728406190872
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;818.0
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;828.5777132511139
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;839.7427446842194
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;851.1779252290726
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;918.8438999056816
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;938.7320687174797
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97361 - Awala-Yalimapo;958.0
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;5100.067555904388
