Date_RP#Annee;Age_personne#Age_Decennal_0_85_ss_moins_1an;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;5639.070424556732
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;4609.586646080017
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;4350.443156719208
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;4092.0
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;4066.516436100006
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;4038.807312965393
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;97362 - Papaichton;4012.2722487449646

Date_RP#Annee;Age_personne#Age_Decennal_0_85_ss_moins_1an;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0
;15-24 ans§25-34 ans§35-44 ans§45-54 ans§55-64 ans;masculin§feminin;;
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4949355.315841317
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4948660.825468421
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4949073.136597097
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4962686.310949147
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4993835.235211134
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;5004688.8194561
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;5018994.149596721
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;5046522.745477647
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1730898.4372518659
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1717583.8119270205
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1702611.410116464
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1692737.0400951505
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1691770.2047957182
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1681935.906293273
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1675828.4860964715
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1674094.749243617
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2023391.0792851448
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2021154.7331600487
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2019689.2935180664
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2021184.8080769181
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2033080.1906747222
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2039345.536183834
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2046637.1289692223
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2060283.9194617271
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1576270.7714756727
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1565121.6948383749
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1555499.4032190442
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1545831.6730275154
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1546357.1447113752
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1542462.5246821642
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1536958.579584092
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1538654.0061368644
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;204438.98200020194
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;205167.33488452435
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;206535.6390736401
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;207115.99798500538
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;208220.94350025058
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;209170.5273668468
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;210578.70330035686
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;211504.07379221916
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3560055.1784735024
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3535670.203334868
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3512684.3633440137
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3497845.8721238375
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3502365.129582405
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3490184.2865248322
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3477404.7800938636
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3464610.9061567485
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;253781.9998767972
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;250028.256726861
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;246299.64173531532
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;243427.7519981861
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;241072.3384371996
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;239067.62427139282
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;239324.20501041412
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;237659.58865261078
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;160702.9074817896
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;167041.1001087427
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;165431.83210778236
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;170091.49168407917
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;173793.25598448515
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;175678.83599746227
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;177524.32144910097
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guyane;178140.55711966753
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3834486.5123218596
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3811844.3547564447
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3791797.745456755
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3776362.6810341477
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3777172.530790299
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3759027.74669683
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3748437.2472313643
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Hauts-de-France;3744732.230802417
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;243429.51833844185
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;239708.05505514145
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;235871.1009809971
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;232574.29830503464
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;229695.1014121771
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;226339.74840337038
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;224361.3382243514
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Martinique;223019.8491769433
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2075085.5254198909
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2059195.470504284
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2043918.832745105
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2031698.7497281432
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2030406.3241659403
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2020763.6143927425
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2014938.876245737
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Normandie;2016194.8788887858
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3625934.4087691307
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3618075.457422316
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3611855.4526229203
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3609137.1121309996
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3628277.4729583263
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3628815.696502894
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3636982.034430951
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Nouvelle-Aquitaine;3656266.296050608
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3570031.823208928
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3572364.237425834
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3578263.052861035
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3587702.2106824815
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3618349.758119285
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3630215.048018545
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3652007.726614028
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Occitanie;3681271.9957292676
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2295522.515254438
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2296049.0262979865
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2297830.088090837
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2305828.1443194747
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2321769.9421376586
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2332064.239628017
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2342015.621359229
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Pays de la Loire;2356838.3504554033
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3073218.6200609207
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3063487.266328573
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3052476.738671094
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3052960.0386268497
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3069559.6300819814
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3069857.1603491306
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3081398.309353709
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Provence-Alpes-Côte d'Azur;3103523.5804466605
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;561732.8125915527
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;562341.5515346527
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;561367.6226577759
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;560413.5920982361
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;564276.1554193497
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;563715.310043335
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;566844.1269111633
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Réunion;571779.4712085724
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;7996872.077344298
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;7990772.762067616
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;8010366.616763234
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;8021503.070002645
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;8054389.639263779
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;8053530.16507411
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;8084996.956982881
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Île-de-France;8133566.494919628

Date_RP#Annee;Age_personne#Age_Decennal_0_85_ss_moins_1an;Sexe_personne#sexe;Lieu_domicile#France;Population__totale_ou_par_âge_et_ou_genre__0_0
;15-24 ans§25-34 ans§35-44 ans§45-54 ans§55-64 ans;masculin§feminin;;
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1219647.2382885814
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1219118.9634253979
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1208970.1974818707
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1206507.134085536
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1208836.8512532115
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1204801.5187155604
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1208053.9915950298
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Departements d'outre mer;1210599.466157794
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40515561.24670717
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40405147.17841631
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40332601.773079306
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40312593.708782315
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40475554.145992875
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40462061.27116932
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40527178.59985863
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France métropolitaine;40688064.22756159

Date_RP#Annee;Age_personne#Age_Decennal_0_85_ss_moins_1an;Sexe_personne#sexe;Lieu_domicile#France_avec_Mayotte;Population__totale_ou_par_âge_et_ou_genre__0_0
;15-24 ans§25-34 ans§35-44 ans§45-54 ans§55-64 ans;masculin§feminin;France métropolitaine§Départements d'outre-mer (hors Mayotte)§Saint-Barthélémy§Saint-Martin;
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41766033.50475684
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41655255.61506635
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41572544.689463764
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41549473.17793274
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41713827.202802
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41695925.60744794
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41764161.85445605
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;France (y compris Mayotte);41927662.059951305
